"","T01","T02","T03","T31","T32","T33","T34","T5A5","T5A6","KMR19","KMR46"
"ENSMUSG00000029320.11",12,29,46,22,45,52,23,50,91,1,4
"ENSMUSG00000053783.5",10,7,29,25,17,32,12,26,55,2,4
"ENSMUSG00000101483.1",71,65,197,107,153,155,101,202,284,0,0
"ENSMUSG00000085609.1",260,480,585,496,806,645,443,813,631,1,0
"ENSMUSG00000101894.1",5,7,13,2,10,16,9,22,28,0,0
"ENSMUSG00000032300.6",779,860,594,803,1213,1315,1009,1838,1636,974,1460
"ENSMUSG00000024729.7",273,266,338,371,426,347,382,604,505,0,0
"ENSMUSG00000037884.6",26,42,106,77,65,71,63,108,181,0,0
"ENSMUSG00000098727.1",5,4,4,9,6,8,4,14,32,0,0
"ENSMUSG00000086348.1",0,3,1,2,1,1,3,4,3,0,0
"ENSMUSG00000056912.11",47,65,168,115,93,115,77,145,200,0,0
"ENSMUSG00000038408.13",29,55,100,71,73,74,29,119,127,0,0
"ENSMUSG00000031809.10",30,74,100,95,104,126,60,109,164,0,0
"ENSMUSG00000037910.2",5,2,13,9,5,8,4,10,24,0,0
"ENSMUSG00000058935.14",39,66,111,55,78,89,55,116,195,0,0
"ENSMUSG00000029620.4",0,1,11,8,1,7,10,7,21,0,0
"ENSMUSG00000100075.1",242,205,166,71,89,88,90,93,64,0,3
"ENSMUSG00000046145.7",45,62,49,172,233,164,191,278,243,0,0
"ENSMUSG00000060715.9",97,154,167,90,96,95,75,108,130,0,4
"ENSMUSG00000040340.13",37,48,115,73,83,85,64,116,172,0,1
"ENSMUSG00000085757.7",20,34,68,51,44,67,41,83,137,0,0
"ENSMUSG00000043629.12",169,225,441,232,301,262,189,428,569,7,2
"ENSMUSG00000086202.1",2,4,3,5,4,6,6,11,6,0,0
"ENSMUSG00000085416.1",35,74,80,57,70,53,41,115,112,2,0
"ENSMUSG00000059695.4",0,2,7,1,2,2,6,1,4,0,0
"ENSMUSG00000026931.10",46,62,69,37,56,56,26,78,89,0,0
"ENSMUSG00000036574.5",7,11,6,4,3,4,10,4,14,0,0
"ENSMUSG00000099808.2",2,2,5,4,3,4,3,8,6,0,0
"ENSMUSG00000027409.5",18,22,16,16,16,6,16,23,20,0,0
"ENSMUSG00000100937.1",103,121,122,10,15,34,18,51,25,6,3
"ENSMUSG00000101801.6",192,310,616,447,503,464,408,695,824,0,0
"ENSMUSG00000085438.1",3108,3612,3798,1394,1903,1810,1661,3650,2151,1194,1586
"ENSMUSG00000035085.5",5,13,27,16,14,13,7,30,34,0,0
"ENSMUSG00000100146.1",1,2,6,5,4,2,5,4,14,0,0
"ENSMUSG00000050844.5",37,74,179,107,82,116,91,189,179,0,15
"ENSMUSG00000059690.1",0,0,0,3,3,4,1,5,0,0,0
"ENSMUSG00000100253.1",3,3,9,6,10,7,10,25,10,0,0
"ENSMUSG00000037535.5",12,40,71,42,39,50,18,59,65,0,0
"ENSMUSG00000019797.10",987,1127,1118,727,833,1082,776,964,847,450,326
"ENSMUSG00000027518.3",16,49,94,23,55,33,15,119,78,0,0
"ENSMUSG00000086890.1",183,203,220,42,26,68,24,61,38,0,0
"ENSMUSG00000086955.1",13,16,64,30,17,16,20,61,82,0,0
"ENSMUSG00000087343.1",1,7,10,0,3,12,1,12,14,0,0
