"","T01","T02","T03","T31","T32","T33","T34","T5A5","T5A6","KMR19","KMR46"
"ENSMUSG00000040877.15",2084,2563,2727,1367,1925,1660,1867,2400,3680,95,158
"ENSMUSG00000038733.13",7405,8314,7075,11061,17073,12929,13050,28145,16572,5880,5886
"ENSMUSG00000046991.9",190,261,528,352,354,412,263,542,744,2,6
"ENSMUSG00000033285.15",1664,2294,1635,2621,3279,2697,2620,3989,3753,2545,2897
"ENSMUSG00000028391.16",166,210,263,90,108,102,73,145,186,144,98
"ENSMUSG00000024400.15",11588,13024,11209,9558,14683,10180,9719,16127,13626,1750,2419
"ENSMUSG00000039715.8",632,710,543,294,326,407,304,409,358,253,312
"ENSMUSG00000066643.12",1381,1633,1857,484,526,592,494,876,728,554,1341
"ENSMUSG00000038299.15",1528,1799,1433,3113,3139,2433,3266,4024,2899,4807,4092
"ENSMUSG00000021147.16",2376,2565,2806,2146,3256,2804,2703,4214,2862,372,643
"ENSMUSG00000035295.10",1370,1011,863,1047,2028,1522,1184,1513,1518,1,3
"ENSMUSG00000024037.12",1889,2223,1547,1940,2114,2077,1989,1759,1659,547,646
"ENSMUSG00000042015.16",1931,2226,1976,888,880,779,923,1287,978,344,678
"ENSMUSG00000041057.9",5276,8111,5557,23280,27907,21701,25039,25567,24695,3847,3838
"ENSMUSG00000036769.14",2516,2697,3266,4057,6663,4953,5599,9380,5712,120,285
"ENSMUSG00000039382.12",869,958,744,476,693,725,559,1749,1337,608,1041
"ENSMUSG00000025173.13",1675,1749,1574,2660,4006,3135,3033,5302,4023,1547,2371
"ENSMUSG00000024312.9",1361,1789,1211,3236,5142,4205,3430,3540,4789,747,1003
"ENSMUSG00000040389.15",972,1125,1305,769,983,1137,746,1424,1113,297,530
"ENSMUSG00000032512.6",3004,3139,3017,2670,3929,3792,3231,7620,5004,1745,1557
"ENSMUSG00000026917.15",1388,1807,1451,3859,4662,3949,3992,4963,4756,1634,1990
"ENSMUSG00000022787.10",218,231,210,233,302,218,231,516,312,152,138
"ENSMUSG00000030032.12",1277,1290,1150,258,394,473,358,657,609,164,162
"ENSMUSG00000042660.7",394,481,347,805,1096,923,816,978,1272,905,1199
"ENSMUSG00000031959.15",2299,2787,2320,3953,4880,4799,4468,5967,4714,976,1370
"ENSMUSG00000034379.8",182,157,177,80,94,163,112,121,106,22,30
"ENSMUSG00000066357.6",970,1015,968,329,615,541,380,564,370,1079,2375
"ENSMUSG00000042050.7",2101,2505,2100,655,829,938,762,1295,1059,1755,1652
"ENSMUSG00000061559.15",1027,1171,930,1491,1851,1420,1577,5241,2616,1519,1479
"ENSMUSG00000037020.16",288,331,443,331,417,528,295,849,702,148,257
"ENSMUSG00000043020.13",109,145,367,238,269,275,185,438,485,10,47
"ENSMUSG00000026523.14",233,348,641,430,375,482,310,654,831,0,0
"ENSMUSG00000029442.18",557,868,867,581,615,647,433,797,980,7,12
"ENSMUSG00000040560.9",4505,5134,5198,1854,2051,2041,1567,3046,2561,415,973
"ENSMUSG00000039828.6",5611,6647,6074,10302,10909,10036,10885,16259,14451,514,1040
"ENSMUSG00000044976.16",278,465,871,549,654,714,497,941,1273,0,0
"ENSMUSG00000025722.16",581,848,604,408,410,514,377,524,634,548,355
"ENSMUSG00000042729.10",541,710,440,1388,2079,1464,1466,1632,1802,970,1138
"ENSMUSG00000025995.16",2008,2758,1800,3628,3976,3220,3667,3907,3804,2082,2596
"ENSMUSG00000027242.14",468,508,500,172,204,338,145,369,379,212,369
"ENSMUSG00000000561.14",1418,1931,1409,3056,4514,3199,3211,4897,4169,2774,3080
"ENSMUSG00000035126.19",834,1054,963,383,358,522,320,605,681,136,55
"ENSMUSG00000045374.18",1104,1025,909,262,301,320,193,427,405,469,754
"ENSMUSG00000020257.12",2701,3001,2973,2787,4256,3464,3321,4915,3647,2743,1967
"ENSMUSG00000005150.16",676,667,608,618,736,755,650,929,922,277,299
"ENSMUSG00000059355.13",147,190,145,154,284,165,123,264,245,492,775
"ENSMUSG00000055235.11",71,62,128,75,129,138,80,216,265,0,1
"ENSMUSG00000045690.8",698,808,864,365,464,392,331,492,497,418,433
"ENSMUSG00000073434.11",749,688,527,228,305,316,276,376,324,377,535
"ENSMUSG00000058486.11",3314,3993,2320,1072,1851,1718,1096,2427,1482,245,458
"ENSMUSG00000078970.5",2707,6043,6716,3897,5849,4416,3370,13595,6237,653,608
"ENSMUSG00000039099.7",108,178,262,153,130,194,121,256,364,8,9
"ENSMUSG00000029658.17",241,325,665,762,749,739,992,3738,3078,0,1
"ENSMUSG00000026988.15",1970,2099,2135,760,800,886,873,1675,1043,280,363
"ENSMUSG00000037622.14",3011,3559,2585,1680,2555,2766,2131,3467,2638,862,913
"ENSMUSG00000022359.9",457,825,907,354,464,499,270,913,608,183,304
"ENSMUSG00000031016.9",867,1450,472,595,1216,1008,919,1149,643,252,175
"ENSMUSG00000037159.11",41,75,148,102,116,82,45,160,181,0,0
"ENSMUSG00000023336.6",72,81,172,118,138,135,94,193,257,0,3
"ENSMUSG00000070529.7",9,3,10,6,3,15,5,6,8,0,0
"ENSMUSG00000078940.8",22,60,91,89,56,66,37,96,166,0,0
"ENSMUSG00000042845.7",0,1,14,5,7,6,1,7,4,0,0
"ENSMUSG00000067704.1",5,11,27,9,11,18,8,23,27,2,1
"ENSMUSG00000051769.2",0,1,7,2,4,7,1,9,4,0,4
"ENSMUSG00000018211.13",11,17,36,24,24,13,12,30,43,0,0
"ENSMUSG00000070530.5",2,8,29,14,22,11,16,43,35,0,0
"ENSMUSG00000069792.5",3,6,9,12,5,16,4,5,24,0,0
"ENSMUSG00000000983.13",3,4,14,15,5,3,4,13,14,0,0
"ENSMUSG00000017723.11",9,15,35,22,40,31,11,32,38,278,344
"ENSMUSG00000051748.2",7,26,23,23,21,25,13,50,46,0,0
"ENSMUSG00000076434.9",40,49,117,72,79,84,55,111,149,3,4
"ENSMUSG00000040154.11",15,16,39,25,39,37,24,58,87,0,0
"ENSMUSG00000074595.9",6,17,27,47,36,20,13,45,30,0,0
"ENSMUSG00000070531.4",1,12,18,11,8,5,5,24,46,0,0
"ENSMUSG00000070533.11",27,72,136,84,126,110,68,169,128,0,0
"ENSMUSG00000074594.9",15,32,54,27,19,32,30,46,59,0,0
"ENSMUSG00000071192.5",125,129,119,119,78,114,81,151,119,4,6
"ENSMUSG00000044177.4",35,54,68,53,53,55,34,77,83,5,5
"ENSMUSG00000039474.13",699,697,705,847,1009,1040,758,7688,6932,582,648
"ENSMUSG00000045795.10",1809,1822,1611,1586,2125,2168,1868,3071,2387,178,104
"ENSMUSG00000039137.18",2300,2575,2985,1803,2731,3238,1900,6625,4032,66,54
"ENSMUSG00000057406.16",3349,3909,3377,6796,8935,9107,7271,18470,13942,3201,5189
"ENSMUSG00000054823.16",11614,13002,11142,18618,26266,24286,22564,32575,23587,1760,2859
"ENSMUSG00000020218.11",184,208,488,360,358,397,227,512,669,4,0
"ENSMUSG00000075284.10",17305,20809,17010,10565,15635,15756,10834,19418,14020,1964,2185
"ENSMUSG00000038013.14",2249,2882,2827,2245,3973,3591,2623,5907,4151,611,729
"ENSMUSG00000086040.8",197,301,529,344,298,320,283,563,711,0,0
"ENSMUSG00000041895.15",1295,1062,1412,539,730,805,713,1496,1234,1320,1935
"ENSMUSG00000029578.15",2582,2962,2469,7186,12776,7782,8297,19134,14446,2562,3189
"ENSMUSG00000005124.9",356,458,849,1389,1381,1569,1115,4085,2366,138,459
"ENSMUSG00000027656.7",119,116,155,75,66,102,62,153,220,16,32
"ENSMUSG00000062074.6",264,264,213,64,56,81,45,105,113,0,1
"ENSMUSG00000024050.15",2219,2303,2364,2690,3394,3318,2625,3467,3187,1438,1564
"ENSMUSG00000028173.10",2436,2449,2890,1533,1661,1709,1585,3630,2052,4367,6580
"ENSMUSG00000045962.16",17638,19968,18946,22263,28887,26117,27647,45482,26334,6995,12103
"ENSMUSG00000037989.15",313,528,904,577,622,635,333,997,1169,1,2
"ENSMUSG00000041245.13",512,615,730,673,713,778,689,1488,1151,150,212
"ENSMUSG00000035112.17",101,175,186,156,171,156,146,338,394,19,9
"ENSMUSG00000022997.9",6,6,19,10,22,25,9,11,28,0,0
"ENSMUSG00000026167.14",26,56,99,56,79,75,68,104,132,12,5
"ENSMUSG00000022996.14",7,7,34,30,17,35,10,54,77,20,26
"ENSMUSG00000015957.12",41,52,160,130,365,314,190,814,490,1,7
"ENSMUSG00000029671.15",19,41,57,91,24,25,50,83,99,21,5
"ENSMUSG00000010797.6",56,88,183,125,132,120,114,218,268,2,14
"ENSMUSG00000027840.5",663,847,729,399,492,440,419,609,604,11,2
"ENSMUSG00000000125.5",59,120,291,169,204,184,131,284,335,1,0
"ENSMUSG00000009900.7",77,140,368,234,212,223,136,317,530,1,0
"ENSMUSG00000036856.4",1621,2310,987,624,1291,1302,1012,1244,1307,4,28
"ENSMUSG00000021994.14",59,64,167,79,71,121,74,147,235,460,708
"ENSMUSG00000030170.14",1287,1380,1649,1136,1446,1434,975,2942,2154,73,119
"ENSMUSG00000033227.7",38,73,123,79,83,115,66,214,163,1,1
"ENSMUSG00000030093.7",77,142,349,190,277,259,131,339,453,1,14
"ENSMUSG00000022382.14",73,111,309,208,253,235,137,369,502,137,742
"ENSMUSG00000012282.2",9,12,44,15,40,37,21,48,70,0,2
"ENSMUSG00000036961.4",43,79,114,77,80,102,70,165,211,0,0
"ENSMUSG00000000126.11",384,461,671,198,263,376,145,397,373,41,86
"ENSMUSG00000018486.2",35,60,162,96,79,76,50,148,201,0,0
"ENSMUSG00000041346.11",336,434,389,396,613,656,493,768,591,317,402
"ENSMUSG00000029029.14",1951,1927,2042,1197,1655,1865,1422,2919,2163,251,295
"ENSMUSG00000023147.15",413,541,498,109,156,171,124,181,219,717,523
"ENSMUSG00000031583.13",3603,3810,3945,1551,1544,1684,1392,2195,1969,598,767
"ENSMUSG00000021400.6",878,1005,976,458,639,599,436,956,700,882,1133
"ENSMUSG00000017677.11",3419,3306,3026,5339,7748,5997,6166,16585,8650,2153,2205
"ENSMUSG00000029364.15",1699,1779,1448,2902,4266,3800,3632,5259,4207,1154,2669
"ENSMUSG00000084020.3",28,3,5,20,10,22,7,10,11,0,2
"ENSMUSG00000020811.16",302,392,628,164,184,241,125,503,443,2,0
"ENSMUSG00000063430.9",160,244,3964,374,355,404,285,545,813,0,0
"ENSMUSG00000016458.13",69,127,256,225,167,205,128,270,358,0,0
"ENSMUSG00000074987.9",68,111,292,175,178,213,151,313,384,0,0
"ENSMUSG00000060475.12",2419,2808,2747,1802,2842,2331,2012,2771,2215,1253,1728
"ENSMUSG00000036459.15",1565,1717,1769,1626,2261,2340,1903,3304,2463,417,451
"ENSMUSG00000018849.6",307,461,891,758,749,887,525,1256,1454,1015,1007
"ENSMUSG00000031563.8",7940,8314,10110,5487,6787,7131,6151,15224,8831,1149,3208
"ENSMUSG00000004637.15",42026,51149,34506,22936,33824,19721,24577,33112,26247,307,295
"ENSMUSG00000041058.15",4193,5336,4953,1977,2299,2152,1788,3686,2390,1029,1335
"ENSMUSG00000031930.11",2655,3111,3343,2768,2829,2773,2535,4677,4034,1030,1461
"ENSMUSG00000027803.14",13124,13874,14513,53474,51537,45235,56617,75414,52537,6220,7827
"ENSMUSG00000019470.12",1887,1872,1625,1578,2306,1942,1700,2684,2452,815,1294
"ENSMUSG00000040483.15",659,702,1672,183,167,447,160,216,152,3056,168
"ENSMUSG00000020484.18",2445,2315,2621,2739,3621,3288,3592,9115,6260,1619,1665
"ENSMUSG00000026573.7",6,7,33,6,4,14,14,13,32,0,0
"ENSMUSG00000060509.4",15,19,39,34,31,36,27,51,69,1,2
"ENSMUSG00000024066.8",674,889,1465,1148,1488,2066,1106,1724,1281,994,83
"ENSMUSG00000025860.14",4313,5104,4905,2136,2797,2551,2548,4099,2729,1702,2161
"ENSMUSG00000079243.2",26,27,66,131,237,184,145,826,454,0,2
"ENSMUSG00000027022.13",341,325,684,476,557,435,415,545,613,0,0
"ENSMUSG00000086503.3",56538,64681,50702,44435,60831,43133,49812,90481,57192,6386,7
"ENSMUSG00000015342.6",145,179,199,119,137,127,101,319,241,163,158
"ENSMUSG00000051951.5",1101,1479,2320,1461,1482,1656,1308,2549,2944,0,0
"ENSMUSG00000039814.15",33,56,114,99,71,97,61,144,228,137,372
"ENSMUSG00000035067.9",1973,2437,2884,1105,1165,1294,906,3130,2293,135,166
"ENSMUSG00000042631.7",26,68,129,94,96,94,58,146,244,0,0
"ENSMUSG00000037752.4",183,227,221,115,77,92,91,129,136,96,148
"ENSMUSG00000067813.3",53,83,158,99,113,124,89,199,253,1,2
"ENSMUSG00000031258.4",36,33,113,67,62,58,39,72,89,5,11
"ENSMUSG00000054626.11",14,34,59,48,27,61,29,59,74,0,0
"ENSMUSG00000057836.12",12,22,25,21,13,21,13,15,28,1,2
"ENSMUSG00000073125.10",50,28,76,25,25,27,28,24,16,0,1
"ENSMUSG00000058147.1",13,19,31,26,29,32,23,27,50,0,0
"ENSMUSG00000083847.1",13,14,16,18,28,15,10,21,40,0,0
"ENSMUSG00000081940.1",6,12,24,19,14,12,11,41,38,0,0
"ENSMUSG00000079845.8",2,3,3,9,15,0,0,8,14,0,0
"ENSMUSG00000067768.12",3,4,5,5,10,3,8,16,13,0,0
"ENSMUSG00000031362.17",0,1,12,5,7,3,3,9,13,0,0
"ENSMUSG00000084066.1",3,5,9,5,12,5,4,17,30,0,0
"ENSMUSG00000081357.1",8,3,12,17,4,6,20,17,22,0,0
"ENSMUSG00000058328.13",172,190,363,212,237,201,207,315,342,0,0
"ENSMUSG00000072479.10",0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000067764.11",1,3,6,4,3,1,7,1,6,0,0
"ENSMUSG00000081804.1",1,1,2,2,1,1,0,3,1,0,0
"ENSMUSG00000081612.1",0,1,2,0,7,1,0,4,4,0,0
"ENSMUSG00000099481.6",1229,1285,1078,435,559,546,388,822,690,92,46
"ENSMUSG00000028329.13",3454,3684,3215,3913,4134,3724,3756,6565,6087,82,69
"ENSMUSG00000030094.8",1846,2163,1617,1042,1300,1396,1023,1230,1499,272,402
"ENSMUSG00000025027.17",2452,3242,2171,1217,1381,1321,973,3260,2488,1659,2976
"ENSMUSG00000037005.16",78,78,247,121,140,175,137,210,273,20,11
"ENSMUSG00000022401.11",1461,1688,1590,661,688,734,776,1194,1172,631,762
"ENSMUSG00000020290.14",4631,4695,3583,1338,2009,2115,1859,6719,3897,8428,10078
"ENSMUSG00000021952.15",3803,4619,4076,7356,10016,6972,8020,10981,9463,1192,1174
"ENSMUSG00000067150.5",2379,3021,2540,3305,4325,4166,3552,4040,4665,2070,2991
"ENSMUSG00000000131.15",7519,8407,6348,13021,17202,13749,13689,22160,17169,2292,1779
"ENSMUSG00000022100.13",6077,7586,6351,7119,8223,8121,7596,12807,9128,2753,3996
"ENSMUSG00000034667.7",2437,3152,2537,5978,6751,6086,6212,13398,10421,4785,3336
"ENSMUSG00000026469.14",6172,6986,6691,8710,11793,9650,10041,18099,11980,838,878
"ENSMUSG00000051768.9",1700,1919,1636,433,726,770,486,708,680,923,900
"ENSMUSG00000028933.11",448,413,551,130,175,168,129,324,267,242,355
"ENSMUSG00000021287.12",946,1051,1048,662,801,894,661,860,605,229,192
"ENSMUSG00000021615.13",4862,5825,5709,2083,2152,2108,2157,3615,3027,228,360
"ENSMUSG00000026187.8",3394,4180,3819,997,1147,1150,849,1544,1405,1250,4188
"ENSMUSG00000022471.13",2529,3358,2600,1883,2661,2830,2091,3228,3044,2196,2032
"ENSMUSG00000025436.11",371,561,438,209,243,264,174,291,378,92,59
"ENSMUSG00000032410.13",7228,8505,7737,3592,4472,3505,3922,7984,4683,1010,936
"ENSMUSG00000027433.5",5737,6672,5726,12551,14717,11044,14106,22362,16367,3305,4510
"ENSMUSG00000035211.9",277,464,429,687,692,752,816,1284,1060,4,3
"ENSMUSG00000047434.13",2174,2701,2525,1603,1590,1737,1341,2026,1981,861,577
"ENSMUSG00000035769.8",249,457,603,283,398,403,263,723,617,108,259
"ENSMUSG00000030657.11",991,1434,2345,4095,4830,4132,3347,8310,5719,105,79
"ENSMUSG00000020868.15",1081,1187,1070,368,526,550,357,577,657,333,333
"ENSMUSG00000075054.4",419,542,397,254,351,311,256,416,346,752,900
"ENSMUSG00000022634.9",1706,2085,1913,2234,2843,3028,2657,5655,3218,578,1271
"ENSMUSG00000053110.13",6289,7297,6754,8517,16245,13512,10482,17042,10880,4097,3739
"ENSMUSG00000028811.11",1849,2419,2169,10520,10990,9698,10733,22953,16749,3981,3079
"ENSMUSG00000022792.16",341,422,329,681,820,625,696,1010,836,490,477
"ENSMUSG00000033126.4",397,261,280,78,102,109,70,231,181,77,37
"ENSMUSG00000028639.14",5518,6129,5950,9309,15094,11717,10936,15071,13149,11456,11570
"ENSMUSG00000018554.13",9,26,33,29,52,49,21,71,76,4,6
"ENSMUSG00000030189.15",7421,10944,10086,24082,31238,25132,27229,35465,30322,7594,12315
"ENSMUSG00000041774.14",847,988,843,1028,1614,1218,1276,1972,1751,343,98
"ENSMUSG00000041215.15",4642,5602,4708,3113,4505,4000,3149,5180,4419,1512,968
"ENSMUSG00000020171.7",386,547,424,349,593,408,417,678,431,345,362
"ENSMUSG00000014932.15",2782,3401,3064,2995,3901,3696,3376,5698,3863,854,1137
"ENSMUSG00000024875.4",348,345,419,250,270,297,196,396,334,563,596
"ENSMUSG00000030588.12",461,558,599,365,452,487,303,428,382,356,379
"ENSMUSG00000057375.13",1142,1357,1352,488,584,524,385,597,678,286,374
"ENSMUSG00000032182.14",1083,1083,868,1382,1623,1546,1581,2060,1936,276,226
"ENSMUSG00000071074.9",1001,1140,946,634,1158,1025,772,1009,1038,674,805
"ENSMUSG00000024072.8",849,912,833,694,772,687,673,1360,907,927,1304
"ENSMUSG00000024487.4",795,873,988,919,1410,1173,1186,2808,1868,986,1781
"ENSMUSG00000047694.12",914,1334,1090,961,1111,739,955,1340,890,320,363
"ENSMUSG00000029158.9",31,29,77,66,51,58,52,77,117,2,0
"ENSMUSG00000048967.15",1374,1395,1179,620,968,813,722,1011,810,0,8
"ENSMUSG00000002741.9",702,647,654,1486,1965,1601,1499,2716,1979,1292,2501
"ENSMUSG00000021244.15",12090,14335,11698,6690,9979,8081,7745,13835,9411,916,1648
"ENSMUSG00000026775.9",4183,4856,4543,3464,4325,3380,3621,7810,4727,3260,4810
"ENSMUSG00000046404.5",436,454,453,490,806,458,595,1394,568,290,209
"ENSMUSG00000022773.16",1231,1226,1123,355,501,655,462,1622,1153,21,27
"ENSMUSG00000018427.7",1345,1717,1462,1795,3011,2382,1873,6116,4012,149,109
"ENSMUSG00000042675.15",3308,3002,2535,1393,1781,1618,1644,4171,2472,472,260
"ENSMUSG00000034059.13",1678,1801,1547,1004,1860,1670,1159,2694,1561,33,40
"ENSMUSG00000039770.5",857,957,841,2520,3340,2648,3032,5944,3451,818,1764
"ENSMUSG00000028889.17",169,216,195,832,1345,1013,934,1375,1283,880,831
"ENSMUSG00000035851.14",6207,7960,6399,11363,16617,12204,12960,22844,15371,1282,1749
"ENSMUSG00000034653.11",1900,2104,2500,2353,2568,2030,2319,3647,2248,238,386
"ENSMUSG00000038848.14",1604,1886,1663,3184,4512,3599,3426,5532,4548,2019,2034
"ENSMUSG00000040025.17",2461,2744,2316,6480,9738,7533,7570,10001,8360,1203,1084
"ENSMUSG00000047213.14",5081,6189,5571,8181,11961,8119,9102,17912,10969,2179,2895
"ENSMUSG00000018326.9",3251,3831,3748,4464,7924,6073,5716,9550,8107,5780,8277
"ENSMUSG00000020849.13",12560,15378,14099,21069,29753,24065,23639,33498,26047,10429,15670
"ENSMUSG00000051391.9",2936,3564,3038,8367,13140,11531,10474,21068,17665,7727,13303
"ENSMUSG00000018965.11",665,737,991,800,1145,1134,909,1676,1170,3244,5530
"ENSMUSG00000076432.12",2713,2919,3052,4581,6702,5517,5038,8247,5037,4935,10397
"ENSMUSG00000082052.1",3,1,6,2,2,4,0,2,1,0,1
"ENSMUSG00000022285.16",4650,4914,5234,9605,14057,11517,10666,17403,11103,9489,15520
"ENSMUSG00000021264.11",3275,4098,3826,6055,9991,8660,7622,12349,9646,1703,3109
"ENSMUSG00000091736.3",169,178,193,176,168,153,175,228,164,0,0
"ENSMUSG00000049090.2",1517,1711,1593,582,1138,878,538,1214,929,2256,3748
"ENSMUSG00000004085.14",5676,6428,6486,5401,7521,6455,6074,11946,7798,1465,1246
"ENSMUSG00000088302.1",7,11,6,7,5,8,3,15,21,0,0
"ENSMUSG00000079173.11",242,340,706,515,662,666,426,972,1172,18,14
"ENSMUSG00000026117.10",43,62,200,94,120,140,92,233,281,0,4
"ENSMUSG00000063935.3",3,4,11,13,7,25,10,23,23,2,33
"ENSMUSG00000056586.8",29,56,84,101,118,120,69,112,92,0,0
"ENSMUSG00000034151.13",177,246,468,287,339,334,233,485,617,0,0
"ENSMUSG00000041995.7",1198,1756,1923,880,1402,1269,741,1981,1410,369,749
"ENSMUSG00000034333.15",590,799,967,717,1026,1137,1010,1126,932,170,363
"ENSMUSG00000034173.13",116,239,112,238,215,274,220,476,478,53,55
"ENSMUSG00000102049.1",5249,6341,6157,7054,10712,9031,7868,15197,9687,1163,1490
"ENSMUSG00000027514.14",62,102,254,272,365,599,453,1079,820,297,24
"ENSMUSG00000033454.6",1974,2234,2014,1097,1967,1721,1271,2446,1993,808,1161
"ENSMUSG00000069114.8",634,606,832,1858,2096,1793,1869,4528,3136,617,1165
"ENSMUSG00000022601.11",2576,3141,2505,8863,11453,9377,9972,17112,11952,623,526
"ENSMUSG00000049823.9",328,481,384,108,133,157,67,221,251,568,386
"ENSMUSG00000049672.14",471,507,471,49,80,93,72,151,107,367,433
"ENSMUSG00000066687.4",59425,120605,33029,2274,10273,5137,4680,10356,11119,0,0
"ENSMUSG00000006215.12",1127,1199,1262,1781,2892,2528,2047,3080,2981,556,454
"ENSMUSG00000063659.11",855,923,1127,220,365,357,247,912,488,1112,1228
"ENSMUSG00000075327.9",602,719,533,1543,2442,2428,1939,2625,2214,310,354
"ENSMUSG00000022708.16",325481,349687,351558,193845,193829,174028,205564,243270,123567,391,550
"ENSMUSG00000046962.15",2021,2229,1754,3994,4626,3766,3962,7384,4920,454,437
"ENSMUSG00000051390.9",478,487,500,448,611,684,498,658,728,358,351
"ENSMUSG00000019826.10",1030,1047,994,279,385,359,294,528,451,207,128
"ENSMUSG00000056459.14",1209,1222,1439,472,436,486,365,553,538,482,445
"ENSMUSG00000050714.9",652,846,655,163,282,248,196,403,277,167,313
"ENSMUSG00000071661.6",29,43,54,27,13,27,7,42,36,78,92
"ENSMUSG00000006310.10",66,70,87,79,112,112,69,200,240,3,0
"ENSMUSG00000048047.3",563,727,680,572,708,528,547,1131,721,578,717
"ENSMUSG00000068966.10",859,885,941,986,1444,1232,1083,1854,1551,256,248
"ENSMUSG00000043467.19",2562,2790,2609,645,845,905,657,1362,1109,382,485
"ENSMUSG00000040433.16",6739,7142,7086,2617,3364,2658,2855,14572,6875,800,1231
"ENSMUSG00000044617.7",920,904,741,1217,1553,1343,1335,1752,1666,273,186
"ENSMUSG00000018750.14",6648,6528,5947,1537,1684,1536,1547,2972,1723,544,818
"ENSMUSG00000060862.9",2081,2618,2773,1076,1480,1753,1055,1656,1667,456,470
"ENSMUSG00000033964.12",1635,1827,1709,1602,2124,1521,1903,3173,1840,928,1197
"ENSMUSG00000037638.5",73,42,61,54,58,127,56,103,48,56,86
"ENSMUSG00000026788.13",1190,1283,1146,1890,3456,2482,2303,4687,3555,501,645
"ENSMUSG00000047412.15",4487,5351,4646,4204,4981,4231,4715,10447,6341,563,676
"ENSMUSG00000049600.8",364,379,382,64,110,112,78,148,156,110,117
"ENSMUSG00000027583.13",875,1179,1368,1833,2778,2745,1991,3493,3682,46,68
"ENSMUSG00000028952.12",501,458,484,492,530,645,413,639,811,134,126
"ENSMUSG00000029127.15",686,766,733,531,689,639,508,983,841,53,145
"ENSMUSG00000049657.9",692,809,669,272,317,331,280,774,529,311,202
"ENSMUSG00000066798.3",1258,1558,1266,641,934,702,717,1250,918,617,722
"ENSMUSG00000035011.15",2765,2876,2582,3344,5813,5817,3734,4912,4505,527,830
"ENSMUSG00000028042.15",686,827,754,655,1311,1600,848,1574,1567,1458,2548
"ENSMUSG00000044646.14",10095,9842,11435,6342,6787,6491,4450,10086,8272,21,19
"ENSMUSG00000028807.2",649,749,732,207,262,312,174,474,436,36,53
"ENSMUSG00000048485.12",37,37,68,31,58,65,20,74,113,10,4
"ENSMUSG00000057572.15",772,836,691,142,232,244,148,324,320,297,359
"ENSMUSG00000079605.4",449,491,363,363,471,337,358,594,527,0,0
"ENSMUSG00000043542.12",2147,2363,2627,927,913,1078,726,1385,1122,487,554
"ENSMUSG00000019815.6",74,120,167,156,148,159,148,237,303,0,0
"ENSMUSG00000045064.4",77,106,124,127,82,143,128,260,195,39,84
"ENSMUSG00000039810.11",362,399,404,574,739,761,547,847,892,362,347
"ENSMUSG00000102976.5",13307,16064,15376,18284,27645,23057,20539,38134,24964,200,226
"ENSMUSG00000042677.7",272,259,366,663,1089,981,679,1346,962,82,135
"ENSMUSG00000035045.17",4610,5491,5300,1896,2175,2017,1867,2933,2384,57,59
"ENSMUSG00000035164.7",1686,2189,1976,2398,2964,2394,2191,3484,2559,413,459
"ENSMUSG00000039981.5",68,115,325,166,217,280,141,375,382,1,0
"ENSMUSG00000022000.10",6008,7494,6233,5829,7839,5671,5905,10860,7859,762,1516
"ENSMUSG00000021012.15",3480,3934,3483,2262,3369,3159,2587,4720,3013,3909,5713
"ENSMUSG00000027091.14",2026,2406,1942,4457,6825,4868,5541,8857,6514,2170,3466
"ENSMUSG00000017478.15",3307,3792,3421,6021,8095,6969,6172,9410,8347,1384,2365
"ENSMUSG00000075600.2",2960,3415,3067,3439,4334,3885,3513,5444,4970,74,91
"ENSMUSG00000059273.8",4434,4833,4913,1834,2608,2262,1995,4023,2800,1072,1385
"ENSMUSG00000042851.17",3486,2956,3115,455,347,432,417,778,591,304,266
"ENSMUSG00000037965.14",446072,406172,388272,255238,532788,534917,286631,499603,386986,1535,1370
"ENSMUSG00000022390.10",5901,6250,5413,3089,4286,4215,3190,4135,3613,2420,3444
"ENSMUSG00000027387.11",319,403,405,132,118,153,106,216,185,111,269
"ENSMUSG00000029826.14",3290,3306,3679,4945,8725,6775,5350,10506,6706,2978,2962
"ENSMUSG00000047749.2",374,428,409,195,208,302,212,319,278,384,609
"ENSMUSG00000039130.18",490,651,612,688,939,781,723,1501,1024,1304,1761
"ENSMUSG00000035062.13",285,326,374,65,95,108,54,149,144,216,214
"ENSMUSG00000018239.9",235,293,249,386,599,518,402,652,547,314,362
"ENSMUSG00000034610.14",7915,9107,7871,5779,7195,6839,6661,13328,8245,951,600
"ENSMUSG00000036699.12",10,15,23,14,12,24,16,42,31,30,10
"ENSMUSG00000031330.8",7,7,12,2,6,10,7,7,6,0,0
"ENSMUSG00000061410.6",4343,4765,4207,4477,6560,6539,4844,7937,6556,1597,2120
"ENSMUSG00000071679.4",671,942,1863,1246,1166,1263,891,1919,2371,0,0
"ENSMUSG00000028772.19",1883,2298,2386,1115,1559,1296,1292,1902,1712,437,559
"ENSMUSG00000031428.11",43,80,63,44,74,52,101,135,119,89,25
"ENSMUSG00000038866.15",2414,2805,2330,2363,3513,3341,2521,5568,3636,1117,985
"ENSMUSG00000055538.7",13627,14611,13243,3838,5493,6034,4622,6646,4311,3535,4409
"ENSMUSG00000074682.4",117,135,139,119,188,165,137,226,188,215,184
"ENSMUSG00000029179.14",1398,1542,1380,402,521,437,311,935,771,728,1036
"ENSMUSG00000047686.9",1401,977,2192,139,111,287,144,287,175,6,6
